Site	Tstatus	Ncookies	HttpOnly	Secure	SameSite	Strict	Lax	None	SetPath	RootPath	OtherPath
abc.net.au	200	6	0	0	0	0	0	0	6	6	0
about.me	200	5	4	1	3	0	3	0	5	5	0
accounts.google.com	200	2	2	2	0	0	0	0	2	2	0
alibaba.com	200	1	0	0	0	0	0	0	1	1	0
aliexpress.com	200	10	4	5	5	0	0	5	10	10	0
allaboutcookies.org	200	2	2	0	2	0	2	0	2	2	0
amazon.fr	405	0	0	0	0	0	0	0	0	0	0
ap.org	200	0	0	0	0	0	0	0	0	0	0
apple.com	200	1	0	0	0	0	0	0	1	1	0
asahi.com	200	0	0	0	0	0	0	0	0	0	0
biglobe.ne.jp	200	0	0	0	0	0	0	0	0	0	0
bing.com	200	10	3	0	0	0	0	0	10	10	0
bitly.com	405	0	0	0	0	0	0	0	0	0	0
blog.fc2.com	200	2	0	0	0	0	0	0	2	2	0
box.com	200	0	0	0	0	0	0	0	0	0	0
brandbucket.com	200	5	2	0	2	0	2	0	5	5	0
businessinsider.com	200	0	0	0	0	0	0	0	0	0	0
businesswire.com	200	0	0	0	0	0	0	0	0	0	0
chron.com	200	5	1	4	2	1	0	1	5	5	0
cisco.com	200	0	0	0	0	0	0	0	0	0	0
cloudflare.com	200	5	5	3	5	0	2	3	5	5	0
disney.com	200	0	0	0	0	0	0	0	0	0	0
disqus.com	200	0	0	0	0	0	0	0	0	0	0
draft.blogger.com	200	3	3	3	0	0	0	0	3	3	0
dw.com	200	0	0	0	0	0	0	0	0	0	0
e-monsite.com	200	3	3	0	3	0	3	0	3	3	0
e-recht24.de	200	0	0	0	0	0	0	0	0	0	0
ebay.com	301	0	0	0	0	0	0	0	0	0	0
economist.com	200	11	2	0	0	0	0	0	11	11	0
engadget.com	200	1	0	0	0	0	0	0	1	1	0
entrepreneur.com	200	10	2	0	0	0	0	0	10	10	0
es.wikipedia.org	200	8	6	8	0	0	0	0	8	8	0
example.com	200	0	0	0	0	0	0	0	0	0	0
facebook.com	200	2	2	2	0	0	0	0	2	2	0
www.fda.gov	200	0	0	0	0	0	0	0	0	0	0
fr.wikipedia.org	200	8	6	8	0	0	0	0	8	8	0
get.google.com	200	2	1	1	0	0	0	0	2	2	0
github.com	200	3	2	3	3	0	3	0	3	3	0
gizmodo.com	200	4	0	2	2	0	0	2	4	4	0
google.ca	200	2	1	1	0	0	0	0	2	2	0
google.co.in	200	2	1	1	0	0	0	0	2	2	0
google.it	200	2	1	1	0	0	0	0	2	2	0
groups.yahoo.com	200	0	0	0	0	0	0	0	0	0	0
gstatic.com	404	0	0	0	0	0	0	0	0	0	0
harvard.edu	200	0	0	0	0	0	0	0	0	0	0
hp.com	200	0	0	0	0	0	0	0	0	0	0
icann.org	301	0	0	0	0	0	0	0	0	0	0
id.wikipedia.org	200	8	6	8	0	0	0	0	8	8	0
imageshack.com	200	0	0	0	0	0	0	0	0	0	0
iso.org	200	4	4	2	2	0	0	2	4	4	0
istockphoto.com	200	5	1	0	0	0	0	0	5	5	0
jimdofree.com	200	0	0	0	0	0	0	0	0	0	0
m.wikipedia.org	200	8	6	8	0	0	0	0	8	8	0
mail.google.com	200	1	1	1	0	0	0	0	1	1	0
marriott.com	200	2	0	2	2	0	0	2	2	2	0
medium.com	200	5	4	3	3	0	1	2	5	5	0
metro.co.uk	200	0	0	0	0	0	0	0	0	0	0
myaccount.google.com	200	3	3	0	0	0	0	0	3	3	0
namesilo.com	503	4	4	3	4	0	2	2	4	4	0
nationalgeographic.com	200	2	0	0	0	0	0	0	2	2	0
nature.com	200	3	3	1	0	0	0	0	3	3	0
newsweek.com	403	0	0	0	0	0	0	0	0	0	0
nginx.org	200	0	0	0	0	0	0	0	0	0	0
nifty.com	200	0	0	0	0	0	0	0	0	0	0
nih.gov	200	0	0	0	0	0	0	0	0	0	0
nydailynews.com	200	2	0	0	0	0	0	0	0	0	0
nypost.com	200	0	0	0	0	0	0	0	0	0	0
office.com	200	8	2	3	2	0	0	2	8	8	0
offset.com	200	6	3	4	4	0	3	1	6	6	0
orange.fr	200	2	2	2	2	0	0	2	2	2	0
oreilly.com	200	2	2	1	1	0	0	1	2	2	0
over-blog-kiwi.com	200	0	0	0	0	0	0	0	0	0	0
prezi.com	406	0	0	0	0	0	0	0	0	0	0
www.qq.com	200	0	0	0	0	0	0	0	0	0	0
qz.com	200	0	0	0	0	0	0	0	0	0	0
ria.ru	200	0	0	0	0	0	0	0	0	0	0
samsung.com	200	5	0	0	0	0	0	0	5	5	0
sapo.pt	200	0	0	0	0	0	0	0	0	0	0
secureserver.net	404	2	0	2	2	0	0	2	2	2	0
sfgate.com	200	5	1	4	2	1	0	1	5	5	0
so-net.ne.jp	200	0	0	0	0	0	0	0	0	0	0
sputniknews.com	200	0	0	0	0	0	0	0	0	0	0
stackoverflow.com	200	2	2	0	0	0	0	0	2	2	0
tes.com	200	7	0	7	0	0	0	0	7	7	0
thedailybeast.com	200	7	5	0	5	0	5	0	7	7	0
thefreedictionary.com	200	0	0	0	0	0	0	0	0	0	0
theguardian.com	200	4	0	4	0	0	0	0	4	4	0
transandfiestas.ga	200	0	0	0	0	0	0	0	0	0	0
un.org	200	0	0	0	0	0	0	0	0	0	0
undeveloped.com	200	1	1	1	0	0	0	0	1	1	0
unesco.org	200	2	0	0	0	0	0	0	2	2	0
utexas.edu	200	0	0	0	0	0	0	0	0	0	0
washingtonpost.com	200	5	0	4	4	0	0	4	5	5	0
welt.de	200	1	0	0	0	0	0	0	0	0	0
wikia.com	200	3	0	3	3	0	0	3	3	3	0
wikihow.com	200	3	0	3	0	0	0	0	3	3	0
www.weebly.com	200	18	0	0	0	0	0	0	18	18	0
xbox.com	404	3	0	0	0	0	0	0	1	1	0
xinhuanet.com	200	0	0	0	0	0	0	0	0	0	0
youtube.com	200	3	3	3	2	0	0	2	3	3	0
