URL	status-code	number-of-cookies	Total	 	 	 	1				2				3				4				5				6				7				8				9				10				11				12				13				14			
			Total-HttpOnly	Total-Secure	Total-SameSite	Total-Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path	HttpOnly	Secure	SameSite	Path
academia.edu	200	10	1	4	0	4	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	/	n	y	n	/	n	y	n	/	y	y	n	/	n	n	n	n	n	n	n	n																
accounts.google.com	200	2	2	2	0	2	y	y	n	/	y	y	n	/																																																
adobe.com	200	0	0	0	0	0																																																								
adweek.com	200	0	0	0	0	0																																																								
amazon.ca	503	0	0	0	0	0																																																								
amazon.co.jp	503	0	0	0	0	0																																																								
amazon.de	503	0	0	0	0	0																																																								
answers.com	200	8	1	1	5	8	n	n	n	/	n	y	None	/	n	y	lax	/	y	y	lax	/	y	y	lax	/	y	y	lax	/	y	y	lax	/	y	y	lax	/																								
bbc.com	200	0	0	0	0	0																																																								
blog.fc2.com	200	2	0	0	0	2	n	n	n	/	n	n	n	/																																																
booking.com	200	3	1	1	1	3	n	n	n	/	n	n	n	/	y	y	None	/																																												
books.google.com	200	1	1	0	0	1	y	n	n	/																																																				
bp.blogspot.com	“did not resolve”	0	0	0	0	0																																																								
bp3.blogger.com	400	0	0	0	0	0																																																								
brandbucket.com	200	4	1	0	1	4	y	n	Lax	/	y	n	Lax	/	y	n	Lax	/	y	n	Lax	/																																								
britannica.com	200	5	0	0	0	5	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/																																				
ca.gov	200	0	0	0	0	0																																																								
calameo.com	200	0	0	0	0	0																																																								
cambridge.org	200	1	1	0	1	1	y	n	Lax	/																																																				
cloudflare.com	200	4	4	3	4	4	y	y	Lax	/	y	y	None	/	y	y	Lax	/	y	y	None	/																																								
de.wikipedia.org	200	6	4	6	0	6	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/																																
deezer.com	200	0	0	0	0	0																																																								
dropbox.com	200	14	6	14	0	14	n	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/
ebay.com	301	0	0	0	0	0																																																								
ed.gov	200	0	0	0	0	0																																																								
en.wikipedia.org	200	6	4	6	0	6	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/																																
europa.eu	200	0	0	0	0	0																																																								
fandom.com	200	3	0	3	3	3	n	y	None	/	n	y	None	/	n	y	None	/																																												
fb.me	200	2	2	2	0	2	y	y	n	/	y	y	n	/																																																
finance.yahoo.com	404	1	0	0	0	1	n	n	n	/																																																				
forbes.com	200	0	0	0	0	0																																																								
foxnews.com	200	0	0	0	0	0																																																								
get.google.com	200	2	1	1	0	2	n	y	n	/	y	y	n	/																																																
ggpht.com	“did not resolve”	0	0	0	0	0																																																								
godaddy.com	200	0	0	0	0	0																																																								
gofundme.com	200	6	0	0	0	6	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/	n	n	n	/																																
goo.gl	200	0	0	0	0	0																																																								
google.co.in	200	0	0	0	0	0																																																								
google.de	200	0	0	0	0	0																																																								
google.es	200	0	0	0	0	0																																																								
google.nl	200	0	0	0	0	0																																																								
googleblog.com	200	0	0	0	0	0																																																								
gooyaabitemplates.com	406	0	0	0	0	0																																																								
greenpeace.org	200	2	2	0	2	2	y	n	Lax	/	y	n	Lax	/																																																
groups.yahoo.com	200	0	0	0	0	0																																																								
harvard.edu	200	0	0	0	0	0																																																								
hm.com	200	0	0	0	0	0																																																								
huffpost.com	200	0	0	0	0	0																																																								
ig.com.br	200	1	1	1	1	1	y	y	Lax	/																																																				
instagram.com	429	6	2	6	0	6	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/																																
iso.org	200	0	0	0	0	0																																																								
lifehacker.com	200	3	0	2	2	3	n	n	n	/	n	y	None	/	n	y	None	/																																												
linkedin.com	200	5	1	5	5	5	n	y	None	/	n	y	None	/	n	y	None	/	y	y	None	/	y	y	None	/																																				
lycos.com	200	0	0	0	0	0																																																								
mail.google.com	200	1	1	1	0	1	y	y	n	/																																																				
mail.ru	200	0	0	0	0	0																																																								
microsoft.com	200	0	0	0	0	0																																																								
msn.com	200	0	0	0	0	0																																																								
my.yahoo.com	200	0	0	0	0	0																																																								
myspace.com	200	0	0	0	0	0																																																								
namesilo.com	503	2	2	2	2	2	y	y	Lax	/	y	y	None	/																																																
networkadvertising.org	200	0	0	0	0	0																																																								
news.google.com	200	4	2	2	0	4	y	n	n	/	y	y	n	/	y	y	n	/	y	y	n	/																																								
newscientist.com	200	0	0	0	0	0																																																								
nokia.com	200	2	0	0	0	2	n	n	n	/	n	n	n	/																																																
nps.gov	200	0	0	0	0	0																																																								
offset.com	200	6	3	4	4	6	y	y	Lax	/	y	y	Lax	/	y	y	Lax	/	y	y	None	/	y	y	Lax	/	y	y	Lax	/																																
orange.fr	200	0	0	0	0	0																																																								
people.com	200	0	0	0	0	0																																																								
php.net	200	2	0	0	0	2	n	n	n	/	n	n	n	/																																																
picasa.google.com	200	0	0	0	0	0																																																								
plos.org	200	0	0	0	0	0																																																								
policies.google.com	200	1	1	0	0	1	y	n	n	/																																																				
rediff.com	200	0	0	0	0	0																																																								
researchgate.net	200	4	4	4	1	4	y	y	Lax	/	y	y	Lax	/	y	y	Lax	/	y	y	Lax	/																																								
reuters.com	200	1	1	0	0	1	y	n	n	/rcom-betaus/																																																				
rt.com	200	0	0	0	0	0																																																								
shutterstock.com	406	0	0	0	0	0																																																								
stanford.edu	200	1	1	1	0	1	y	y	n	/																																																				
steamcommunity.com	200	0	0	0	0	0																																																								
surveymonkey.com	200	6	1	6	6	6	n	y	None	/	n	y	none	/	n	y	none	/	y	y	none	/	y	y	none	/	y	y	None	/																																
terra.com.br	200	2	0	2	0	1	n	y	n	/	n	y	n	/																																																
thenextweb.com	200	2	1	0	1	2	y	n	Lax	/	y	n	Lax	/																																																
theverge.com	200	2	0	1	1	2	n	n	n	/	n	y	Lax	/																																																
thoughtco.com	200	3	0	0	0	3	n	n	n	/	n	n	n	/	n	n	n	/																																												
tinyurl.com	200	10	4	0	10	10	y	n	Lax	/	y	n	lax	/	y	n	lax	/	y	n	lax	/	y	n	lax	/	y	n	Lax	/	y	n	lax	/	y	n	lax	/	y	n	lax	/	y	n	lax	/																
transandfiestas.ga	200	0	0	0	0	0																																																								
twitch.tv	200	0	0	0	0	0																																																								
usgs.gov	200	4	0	1	2	4	n	n	n	/	n	y	None	/	n	y	None	/	n	y	None	/																																								
vk.com	418	0	0	0	0	0																																																								
walmart.com	200	4	0	1	2	4	n	n	n	/	n	y	None	/	n	y	Strict	/	n	y	Strict	/																																								
washingtonpost.com	200	5	0	4	4	5	n	y	None	/	n	y	None	/	n	y	None	/	n	y	None	/	n	y	None	/																																				
whitehouse.gov	200	0	0	0	0	0																																																								
wiktionary.org	200	6	4	6	0	6	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/	y	y	n	/																																
wired.com	200	11	1	8	6	9	n	y	n	/	n	y	Strict	/	n	y	None	/	n	y	None	/	n	y	Strict	/	n	y	None	/	y	y	None	/	y	y	None	/	y	y	None	/	y	y	None	/	y	y	None	/												
wordpress.org	200	0	0	0	0	0																																																								
youtu.be	200	6	6	6	4	6	y	y	n	/	y	y	none	/	y	y	none	/	y	y	none	/	y	y	none	/	y	y	none	/																																
youtube.com	200	5	5	5	4	5	y	y	none	/	y	y	none	/	y	y	none	/	y	y	none	/	y	y	none	/																																				
zdnet.com	200	4	0	4	0	4	n	y	n	/	n	y	n	/	n	y	n	/	n	y	n	/																																								
